school_code,school_name,postcode,town_suburb,operational_directorate,principal_network,class_type
1058,Drummond Memorial Public School,2350,Armidale,Tamworth,Armidale,Supporting students with disability prior to school (EI Early Intervention)
1058,Drummond Memorial Public School,2350,Armidale,Tamworth,Armidale,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1112,Ballina Public School,2478,Ballina ,Tamworth,Lennox Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1134,Bargo Public School,2574,Bargo ,Ultimo,Wollondilly,Supporting students with autism (Au)
1227,Ocean Shores Public School,2483,Ocean Shores,Tamworth,Wollumbin,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1227,Ocean Shores Public School,2483,Ocean Shores,Tamworth,Wollumbin,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1290,Bonalbo Central School,2469,Bonalbo,Tamworth,Clarence Valley,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1313,Boorowa Central School,2586,Boorowa ,Wagga Wagga,Yass,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1421,Bungendore Public School,2621,Bungendore ,Wagga Wagga,Queanbeyan,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1432,Burke Ward Public School,2880,Broken Hill ,Wagga Wagga,Far West,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1482,Camden Public School,2570,Camden ,Ultimo,Camden,Supporting students with autism (Au)
1482,Camden Public School,2570,Camden ,Ultimo,Camden,Supporting students who are deaf or hearing impaired (H)
1482,Camden Public School,2570,Camden ,Ultimo,Camden,Supporting students with mild intellectual disability (IM)
1542,Cessnock Public School,2325,Cessnock ,Tamworth,Cessnock,Supporting students with mental health issues (ED Emotional Disturbance)
1542,Cessnock Public School,2325,Cessnock ,Tamworth,Cessnock,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1542,Cessnock Public School,2325,Cessnock ,Tamworth,Cessnock,Supporting students with mild intellectual disability (IM)
1578,Cobar Public School,2835,Cobar ,Wagga Wagga,Mitchell,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1584,Coffs Harbour Public School,2450,Coffs Harbour,Tamworth,Coffs Harbour,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1584,Coffs Harbour Public School,2450,Coffs Harbour,Tamworth,Coffs Harbour,Supporting students with mild intellectual disability (IM)
1584,Coffs Harbour Public School,2450,Coffs Harbour,Tamworth,Coffs Harbour,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1584,Coffs Harbour Public School,2450,Coffs Harbour,Tamworth,Coffs Harbour,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1631,Coonamble Public School,2829,Coonamble,Wagga Wagga,Western Plains,Supporting students with mild intellectual disability (IM)
1631,Coonamble Public School,2829,Coonamble,Wagga Wagga,Western Plains,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1775,Dubbo Public School,2830,Dubbo ,Wagga Wagga,Macquarie,Supporting students with mild intellectual disability (IM)
1775,Dubbo Public School,2830,Dubbo ,Wagga Wagga,Macquarie,Supporting students with moderate intellectual disability (IO)
1776,Dubbo North Public School,2830,Dubbo ,Wagga Wagga,Macquarie,Supporting students with mental health issues (ED Emotional Disturbance)
1776,Dubbo North Public School,2830,Dubbo ,Wagga Wagga,Macquarie,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1807,Earlwood Public School,2206,Earlwood ,Ultimo,Beverly Hills,Supporting students with physical disability (P)
1816,Eden Public School,2551,Eden ,Wagga Wagga,Eden-Monaro,Supporting students with mental health issues (ED Emotional Disturbance)
1816,Eden Public School,2551,Eden ,Wagga Wagga,Eden-Monaro,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1823,Eglinton Public School,2795,Eglinton ,Wagga Wagga,Bathurst,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1841,Emu Plains Public School,2750,Emu Plains ,Macquarie Park,Penrith,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1851,Epping West Public School,2121,Epping ,Macquarie Park,Carlingford,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1851,Epping West Public School,2121,Epping ,Macquarie Park,Carlingford,Supporting students with moderate intellectual disability (IO)
1886,Evans River Community School,2473,Evans Head,Tamworth,Lennox Coast,Supporting students with mild intellectual disability (IM)
1886,Evans River Community School,2473,Evans Head,Tamworth,Lennox Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1896,Fairfield West Public School,2165,Fairfield West ,Ultimo,Fairfield,Supporting students with autism (Au)
1896,Fairfield West Public School,2165,Fairfield West ,Ultimo,Fairfield,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1896,Fairfield West Public School,2165,Fairfield West ,Ultimo,Fairfield,Supporting students with mild intellectual disability (IM)
1896,Fairfield West Public School,2165,Fairfield West ,Ultimo,Fairfield,Supporting students with moderate intellectual disability (IO)
1979,Gilgandra Public School,2827,Gilgandra ,Wagga Wagga,Mudgee,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2064,Granville Public School,2142,Granville ,Macquarie Park,Parramatta,Supporting students with mild intellectual disability (IM)
2064,Granville Public School,2142,Granville ,Macquarie Park,Parramatta,Supporting students with autism (Au)
2064,Granville Public School,2142,Granville ,Macquarie Park,Parramatta,Supporting students with moderate intellectual disability (IO)
2064,Granville Public School,2142,Granville ,Macquarie Park,Parramatta,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2097,Gulgong Public School,2852,Gulgong ,Wagga Wagga,Mudgee,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2212,Islington Public School,2296,Islington ,Tamworth,Callaghan,Supporting students with mild intellectual disability (IM)
2237,Jindabyne Central School,2627,Jindabyne ,Wagga Wagga,Eden-Monaro,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2239,Jindera Public School,2642,Jindera ,Wagga Wagga,Albury,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2259,Kanwal Public School,2259,Kanwal ,Macquarie Park,Tuggerah Lakes,Supporting students with mental health issues (ED Emotional Disturbance)
2304,Kincumber Public School,2251,Kincumber ,Macquarie Park,Brisbane Water,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2357,Lake Albert Public School,2650,Lake Albert ,Wagga Wagga,Wagga Wagga,Supporting students with moderate intellectual disability (IO)
2395,Lightning Ridge Central School,2834,Lightning Ridge,Wagga Wagga,Western Plains,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2451,Maitland East Public School,2323,East Maitland,Tamworth,Maitland,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1065,Ashfield Public School,2131,Ashfield ,Ultimo,Canterbury,Supporting students with moderate intellectual disability (IO)
1065,Ashfield Public School,2131,Ashfield ,Ultimo,Canterbury,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1138,Barnsley Public School,2278,Barnsley ,Tamworth,Lake Macquarie North,Supporting students with autism (Au)
1149,Batemans Bay Public School,2536,Surfside,Wagga Wagga,Batemans Bay,Supporting students with autism (Au)
1149,Batemans Bay Public School,2536,Surfside,Wagga Wagga,Batemans Bay,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1149,Batemans Bay Public School,2536,Surfside,Wagga Wagga,Batemans Bay,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1183,Belmont Public School,2280,Belmont ,Tamworth,Lake Macquarie East,Supporting students with mental health issues (ED Emotional Disturbance)
1201,Beresfield Public School,2322,Beresfield,Tamworth,Hunter,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1201,Beresfield Public School,2322,Beresfield,Tamworth,Hunter,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1260,Blayney Public School,2799,Blayney ,Wagga Wagga,Bathurst,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1260,Blayney Public School,2799,Blayney ,Wagga Wagga,Bathurst,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1287,Bomaderry Public School,2541,Bomaderry ,Wagga Wagga,Shoalhaven,Supporting students with mild intellectual disability (IM)
1287,Bomaderry Public School,2541,Bomaderry ,Wagga Wagga,Shoalhaven,Supporting students with autism (Au)
1287,Bomaderry Public School,2541,Bomaderry ,Wagga Wagga,Shoalhaven,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1287,Bomaderry Public School,2541,Bomaderry ,Wagga Wagga,Shoalhaven,Supporting students with disability prior to school (EI Early Intervention)
1287,Bomaderry Public School,2541,Bomaderry ,Wagga Wagga,Shoalhaven,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1326,Bourke Public School,2840,Bourke,Wagga Wagga,Mitchell,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1340,Braidwood Central School,2622,Braidwood ,Wagga Wagga,Queanbeyan,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1497,Canterbury Public School,2193,Canterbury ,Ultimo,Canterbury,Supporting students with autism (Au)
1497,Canterbury Public School,2193,Canterbury ,Ultimo,Canterbury,Supporting students with moderate intellectual disability (IO)
1497,Canterbury Public School,2193,Canterbury ,Ultimo,Canterbury,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1609,Condobolin Public School,2877,Condobolin,Wagga Wagga,West Wyalong,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1635,Cooranbong Public School,2265,Cooranbong ,Tamworth,Lake Macquarie West,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1671,Cowra Public School,2794,Cowra ,Wagga Wagga,Cowra,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1671,Cowra Public School,2794,Cowra ,Wagga Wagga,Cowra,Supporting students with mild intellectual disability (IM)
1727,Dapto Public School,2530,Horsley,Wagga Wagga,Lake Illawarra South,Supporting students with autism (Au)
1727,Dapto Public School,2530,Horsley,Wagga Wagga,Lake Illawarra South,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1744,Dee Why Public School,2099,Dee Why ,Macquarie Park,The Beaches,Supporting students with disability prior to school (EI Early Intervention)
1744,Dee Why Public School,2099,Dee Why ,Macquarie Park,The Beaches,Supporting students with mild intellectual disability (IM)
1760,Doonside Public School,2767,Doonside,Macquarie Park,Quakers Hill,Supporting students with mild intellectual disability (IM)
1760,Doonside Public School,2767,Doonside,Macquarie Park,Quakers Hill,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1792,Dungog Public School,2420,Dungog ,Tamworth,Hunter,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
1849,The Entrance Public School,2261,The Entrance ,Macquarie Park,Tuggerah Lakes,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1926,Forbes Public School,2871,Forbes,Wagga Wagga,Cowra,Supporting students with autism and/or moderate intellectual disability (IO/Au)
1926,Forbes Public School,2871,Forbes,Wagga Wagga,Cowra,Supporting students with mental health issues (ED Emotional Disturbance)
1926,Forbes Public School,2871,Forbes,Wagga Wagga,Cowra,Supporting students with moderate and students with severe intellectual disability (IO/IS)
1926,Forbes Public School,2871,Forbes,Wagga Wagga,Cowra,Supporting students with mild intellectual disability (IM)
2234,Jesmond Public School,2299,Jesmond ,Tamworth,Callaghan,Supporting students with moderate and students with severe intellectual disability (IO/IS)
2254,Kandos Public School,2848,Kandos,Wagga Wagga,Lithgow,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2279,Kempsey West Public School,2440,West Kempsey,Tamworth,Macleay Valley,Supporting students with mild intellectual disability (IM)
