School Code,School Name,Level of Schooling,Calendar Year,Kindergarten,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Primary Ungraded,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Secondary Ungraded,School Total
1001,Abbotsford Public School,Primary School,2010,63,56,44,43,48,44,37,,,,,,,,,335
1001,Abbotsford Public School,Primary School,2011,88,62,57,59,43,42,44,,,,,,,,,395
1001,Abbotsford Public School,Primary School,2012,87,88,62,76,63,44,43,,,,,,,,,463
1001,Abbotsford Public School,Primary School,2013,95,90,79,73,69,60,43,,,,,,,,,509
1001,Abbotsford Public School,Primary School,2014,85,96,82,98,76,66,58,,,,,,,,,561
1001,Abbotsford Public School,Primary School,2015,92,85,93,91,95,67,66,,,,,,,,,589
1001,Abbotsford Public School,Primary School,2016,98,94,86,92,87,87,58,,,,,,,,,602
1001,Abbotsford Public School,Primary School,2017,98,96,89,89,86,87,82,,,,,,,,,627
1002,Aberdeen Public School,Primary School,2010,37,16,28,26,34,21,33,,,,,,,,,195
1002,Aberdeen Public School,Primary School,2011,27,41,16,34,25,37,21,,,,,,,,,201
1002,Aberdeen Public School,Primary School,2012,26,25,41,18,29,28,34,,,,,,,,,201
1002,Aberdeen Public School,Primary School,2013,34,27,25,39,17,27,27,,,,,,,,,196
1002,Aberdeen Public School,Primary School,2014,21,32,31,31,41,18,28,,,,,,,,,202
1002,Aberdeen Public School,Primary School,2015,36,27,30,37,30,41,19,,,,,,,,,220
1002,Aberdeen Public School,Primary School,2016,28,38,33,31,37,30,44,,,,,,,,,241
1002,Aberdeen Public School,Primary School,2017,28,30,36,36,31,32,34,,,,,,,,,227
1003,Abermain Public School,Primary School,2010,31,31,20,38,38,33,32,,,,,,,,,223
1003,Abermain Public School,Primary School,2011,24,31,28,18,37,37,31,,,,,,,,,206
1003,Abermain Public School,Primary School,2012,38,24,33,21,22,36,36,,,,,,,,,210
1003,Abermain Public School,Primary School,2013,42,42,23,31,24,24,33,,,,,,,,,219
1003,Abermain Public School,Primary School,2014,31,37,41,19,29,20,22,,,,,,,,,199
1003,Abermain Public School,Primary School,2015,39,32,37,43,23,35,19,,,,,,,,,228
1003,Abermain Public School,Primary School,2016,43,42,31,41,46,25,36,,,,,,,,,264
1003,Abermain Public School,Primary School,2017,41,42,40,33,39,46,23,,,,,,,,,264
1007,Adaminaby Public School,Primary School,2010,,,,,,,,,,,,,,,,31
1007,Adaminaby Public School,Primary School,2011,,,,,,,,,,,,,,,,24
1007,Adaminaby Public School,Primary School,2012,,,,,,,,,,,,,,,,19
1007,Adaminaby Public School,Primary School,2013,,,,,,,,,,,,,,,,18
1007,Adaminaby Public School,Primary School,2014,,,,,,,,,,,,,,,,18
1007,Adaminaby Public School,Primary School,2015,,,,,,,,,,,,,,,,20
1007,Adaminaby Public School,Primary School,2016,,,,,,,,,,,,,,,,17
1007,Adaminaby Public School,Primary School,2017,,,,,,,,,,,,,,,,18
1008,Adamstown Public School,Primary School,2010,43,31,39,26,33,24,35,,,,,,,,,231
1008,Adamstown Public School,Primary School,2011,37,44,28,40,25,35,21,,,,,,,,,230
1008,Adamstown Public School,Primary School,2012,34,35,36,28,43,24,35,,,,,,,,,235
1008,Adamstown Public School,Primary School,2013,25,38,32,32,25,37,25,,,,,,,,,214
1008,Adamstown Public School,Primary School,2014,38,23,42,30,34,21,38,,,,,,,,,226
1008,Adamstown Public School,Primary School,2015,38,36,25,42,32,38,24,,,,,,,,,235
1008,Adamstown Public School,Primary School,2016,51,40,34,28,40,32,38,,,,,,,,,263
1008,Adamstown Public School,Primary School,2017,33,54,38,36,32,38,31,,,,,,,,,262
1009,Adelong Public School,Primary School,2010,17,13,17,10,16,12,13,,,,,,,,,98
1009,Adelong Public School,Primary School,2011,17,15,13,15,9,13,13,,,,,,,,,95
1009,Adelong Public School,Primary School,2012,10,16,15,11,14,9,13,,,,,,,,,88
1009,Adelong Public School,Primary School,2013,12,10,14,14,9,13,8,,,,,,,,,80
1009,Adelong Public School,Primary School,2014,10,10,10,13,15,11,12,,,,,,,,,81
1009,Adelong Public School,Primary School,2015,11,9,9,8,13,16,10,,,,,,,,,76
1009,Adelong Public School,Primary School,2016,12,10,11,8,9,14,17,,,,,,,,,81
1009,Adelong Public School,Primary School,2017,11,11,10,13,8,9,15,,,,,,,,,77
1015,Albion Park Public School,Primary School,2010,73,54,71,83,63,85,82,14,,,,,,,,525
1015,Albion Park Public School,Primary School,2011,59,70,52,67,81,59,85,13,,,,,,,,486
1015,Albion Park Public School,Primary School,2012,61,49,64,49,67,77,59,15,,,,,,,,441
1015,Albion Park Public School,Primary School,2013,61,55,50,62,46,69,75,13,,,,,,,,431
1015,Albion Park Public School,Primary School,2014,71,61,55,50,60,49,64,15,,,,,,,,425
1015,Albion Park Public School,Primary School,2015,69,67,58,56,51,60,50,14,,,,,,,,425
1015,Albion Park Public School,Primary School,2016,56,69,68,63,57,51,56,15,,,,,,,,435
1015,Albion Park Public School,Primary School,2017,55,60,69,70,58,55,50,12,,,,,,,,429
1016,Timbumburi Public School,Primary School,2010,20,18,21,18,20,20,8,,,,,,,,,125
1016,Timbumburi Public School,Primary School,2011,16,20,17,24,14,21,19,,,,,,,,,131
1016,Timbumburi Public School,Primary School,2012,15,19,19,16,23,12,20,,,,,,,,,124
1016,Timbumburi Public School,Primary School,2013,22,18,18,22,14,22,12,,,,,,,,,128
1016,Timbumburi Public School,Primary School,2014,18,23,20,21,22,15,22,,,,,,,,,141
1016,Timbumburi Public School,Primary School,2015,18,19,21,19,17,23,14,,,,,,,,,131
1016,Timbumburi Public School,Primary School,2016,28,18,19,20,22,14,23,,,,,,,,,144
1016,Timbumburi Public School,Primary School,2017,20,27,19,19,22,24,15,,,,,,,,,146
1017,Albury Public School,Primary School,2010,93,89,85,91,98,79,93,,,,,,,,,628
1017,Albury Public School,Primary School,2011,83,95,88,80,91,97,80,,,,,,,,,614
1017,Albury Public School,Primary School,2012,68,86,95,87,84,88,106,,,,,,,,,614
1017,Albury Public School,Primary School,2013,75,72,88,96,90,79,87,,,,,,,,,587
1017,Albury Public School,Primary School,2014,82,76,72,86,96,91,81,,,,,,,,,584
1017,Albury Public School,Primary School,2015,77,89,84,71,83,100,89,,,,,,,,,593
